Start of file
"ID";"CreditID";"Amount";"PaymentDate"
"ed6fbe06-67b0-4c9c-acc4-0ba3c12f4c73";"ed6fbe06-67b0-4c9c-acc4-0ba6c12f4c74";"1000,00";"11.11.2013 0:00:00"
"ed6fbe36-54bb-4c9f-acc4-0ba5c11f4c71";"ed6fbe36-54bb-4c9f-acc4-0ba6c12f4c71";"1000,00";"10.11.2013 0:00:00"
"ed6fbe06-54bb-4c9c-acc4-0ba5c12f4c71";"ed6fbe06-54bb-4c9c-acc4-0ba6c12f4c71";"10000,00";"15.11.2013 0:00:00"
"ed2fbe36-54bb-4c9f-acc4-0ba6c12f4c41";"ed6fbe36-54bb-4c9f-acc4-0ba6c12f4c71";"2000,00";"10.11.2013 0:00:00"
"ed6fbe06-54bb-4c9c-acc4-0bb6c12f4c71";"ed6fbe06-54bb-4c9c-acc4-0ba6c12f4c71";"10000,00";"16.11.2013 0:00:00"
"dcb7028b-c24e-4013-be94-0cf71ca10d61";"cb8ff73c-853e-443d-b96e-101a230d1b92";"111,00";"04.12.2013 12:54:31"
"ed6fbe06-54bb-4c9c-acc4-1ba6c12f4c71";"ed6fbe06-54bb-4c9c-acc4-0ba6c12f4c71";"9500,00";"17.11.2013 0:00:00"
"b04b7785-a6dc-44c7-b26f-279de481063e";"cdb82335-6d7c-44bf-994b-2efeb276ac22";"200,00";"04.12.2013 12:56:01"
"2694663d-84c8-41f3-a5ce-3665cfbdf51c";"cdb82335-6d7c-44bf-994b-2efeb276ac22";"100,00";"03.12.2013 16:15:34"
"acf22617-02bb-4fd8-964a-4b2d236e32a7";"7f8c2700-2312-4308-b307-5ce4e2c8dac3";"990,00";"04.12.2013 12:56:36"
"c9f04636-d42f-43bd-bc9a-4d0ab0245541";"cdb82335-6d7c-44bf-994b-2efeb276ac22";"100,00";"03.12.2013 16:12:04"
"d3a26b39-3135-421e-9d9a-7ca90b4cc579";"ed6fbe06-54bb-4c9c-acc4-0ba6c12f4c71";"100,99";"05.12.2013 12:57:22"
"d6638838-cef6-4f49-a116-80e59ca05ade";"cdb82335-6d7c-44bf-994b-2efeb276ac22";"100,00";"03.12.2013 16:15:21"
"e4d18334-b5c2-4deb-97ce-b6de42111622";"ed6fbe06-54bb-4c9c-acc4-0ba6c12f4c71";"1000,00";"04.12.2013 12:54:08"
"73c81e53-f379-42b5-8a31-e6907d19b872";"3f5a629b-bd74-49d1-922e-84217a0f28fc";"111,00";"04.12.2013 12:53:43"
"d4241177-571b-44c2-b375-f6b7e13bea8f";"cdb82335-6d7c-44bf-994b-2efeb276ac22";"100,00";"03.12.2013 16:12:35"
End of file
