Start of file
"ID";"DebitorID";"Amount";"Balance";"OpeningDate"
"ed6fbe06-54bb-4c9c-acc4-0ba6c12f4c71";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c71";"2000000,0000";"1998899,0100";"09.10.2013 0:00:00"
"ed6fbe16-54bb-4c9f-acc4-0ba6c12f4c71";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c74";"123000,0000";"123000,0000";"03.05.2000 0:00:00"
"ed6fbe36-54bb-4c9f-acc4-0ba6c12f4c71";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c72";"500000,0000";"500000,0000";"14.11.2013 0:00:00"
"ed6fbe06-67b0-4c9c-acc4-0ba6c12f4c74";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c71";"1000000,0000";"1000000,0000";"14.11.2013 0:00:00"
"cb8ff73c-853e-443d-b96e-101a230d1b92";"406d251a-1138-4fcd-bed7-188a229bfa76";"11111,0000";"11000,0000";""
"2f910759-fc5a-470f-82c4-1d4a4f85769b";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c73";"1111,0000";"1111,0000";"06.11.2013 0:00:00"
"cdb82335-6d7c-44bf-994b-2efeb276ac22";"2aa34f38-32e0-40ac-8bce-ee773954f779";"5,0000";"-195,0000";"27.11.2013 0:00:00"
"7f8c2700-2312-4308-b307-5ce4e2c8dac3";"10361f4f-6ebd-4d7e-a355-aa778b8be47d";"999,0000";"9,0000";"01.10.2013 0:00:00"
"2979f216-862d-46b8-aefd-5dad8ad7e011";"2aa34f38-32e0-40ac-8bce-ee773954f779";"8,0000";"8,0000";"27.11.2013 0:00:00"
"e4448125-622f-4167-8dc4-5e9ea6582813";"2aa34f38-32e0-40ac-8bce-ee773954f779";"6,0000";"6,0000";"27.11.2013 0:00:00"
"fd615fb9-9867-4e94-9e84-614b0ac0b4b9";"2aa34f38-32e0-40ac-8bce-ee773954f779";"7,0000";"7,0000";"27.11.2013 0:00:00"
"f08c2f9e-b02b-4876-8c40-717c3ddef315";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c75";"888,0000";"888,0000";""
"3f5a629b-bd74-49d1-922e-84217a0f28fc";"2aa34f38-32e0-40ac-8bce-ee773954f779";"9,0000";"-102,0000";"27.11.2013 0:00:00"
"a9622683-47c9-432b-a4e0-a8bcab54fb91";"66f00973-a163-4fc5-9d6e-57da87a5bfa2";"555,0000";"555,0000";"01.01.2013 0:00:00"
"2d234b79-6b48-424e-84e7-b7700f8b2241";"406d251a-1138-4fcd-bed7-188a229bfa76";"23,0000";"23,0000";"27.11.2013 0:00:00"
"8db0cd88-9d70-4e6e-86da-d43adaac8bf1";"406d251a-1138-4fcd-bed7-188a229bfa76";"1000004,0000";"1000004,0000";"27.11.2013 0:00:00"
"c122846a-1772-4261-9981-eeab8cdb2d6c";"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c75";"999,0000";"999,0000";""
"883aec29-43f4-43e6-808c-f657515cccf0";"0b0f2389-95f8-4a82-ad96-4b582b411a89";"223,0000";"223,0000";""
End of file
